country,year,presumed_cases,confirmed_cases,estimated_deaths,mortality_rate,treated_cases,total_cases,treated_rate
TZA,2019,89748,5913584,23742,40.9,6385075,6003332,106.36
TZA,2020,37793,5977913,25972,43.5,3970308,6015706,66.0
UGA,2018,2763650,5759174,17652,41.3,25275210,8522824,296.56
UGA,2019,1610431,13982362,17766,40.1,28847873,15592793,185.01
UGA,2020,1145904,14196657,21699,47.4,30962280,15342561,201.81
UZB,2018,0,0,0,0.0,0,0,0.0
UZB,2019,0,1,0,0.0,0,1,0.0
UZB,2020,0,2,0,0.0,0,2,0.0
VEN,2018,0,522059,373,2.6,404924,522059,77.56
VEN,2019,0,492753,351,2.5,398285,492753,80.83
VEN,2020,0,273126,203,1.4,231384,273126,84.72
VNM,2018,2057,4813,6,0.0,4525,6870,65.87
VNM,2019,1222,4765,5,0.0,5892,5987,98.41
VNM,2020,311,1422,2,0.0,1733,1733,100.0
VUT,2018,0,644,0,0.0,640,644,99.38
VUT,2019,0,576,0,0.0,571,576,99.13
VUT,2020,0,507,0,0.0,496,507,97.83
YEM,2018,75243,157900,2211,12.0,0,233143,0.0
YEM,2019,50864,165899,2134,11.4,0,216763,0.0
ZAF,2018,0,10789,69,1.2,0,10789,0.0
ZAF,2019,0,13833,79,1.3,13833,13833,100.0
ZAF,2020,0,8126,38,0.6,20190,8126,248.46
ZMB,2018,156044,5039679,7862,45.3,27071994,5195723,521.04
ZMB,2019,212670,5147350,7996,44.8,19134471,5360020,356.99
ZMB,2020,577089,8121215,8946,48.7,7473255,8698304,85.92
ZWE,2018,0,264018,1624,14.3,76551,264018,28.99
ZWE,2019,0,308173,2003,17.4,304309,308173,98.75
ZWE,2020,0,447381,2951,25.2,443164,447381,99.06
